CE-CO,CE-PM10,julian_day,hour
16.151098901098894,106.31593406593409,1,0
17.23076923076922,107.82417582417578,1,1
17.74775224775223,109.18031968031961,1,2
17.798201798201777,110.41758241758232,1,3
17.478271728271707,111.56918081918072,1,4
16.88411588411586,112.66833166833156,1,5
16.11188811188807,113.74825174825148,1,6
15.293706293706256,114.99999999999972,1,7
14.573426573426538,116.16083916083886,1,8
14.020979020978988,117.4965034965032,1,9
13.7342657342657,118.8881118881116,1,10
13.335664335664301,120.24475524475494,1,11
12.755244755244725,121.34965034965005,1,12
12.244755244755215,122.38461538461507,1,13
11.580419580419552,123.22377622377593,1,14
11.013986013985987,123.6923076923074,1,15
10.321678321678297,123.87412587412555,1,16
9.510489510489487,123.63636363636331,1,17
8.74125874125872,123.1958041958039,1,18
8.174825174825154,122.79720279720249,1,19
7.741258741258722,122.39160839160809,1,20
7.370629370629352,122.11188811188781,1,21
7.132867132867116,121.72027972027942,1,22
6.853146853146836,121.300699300699,1,23
6.510489510489494,120.56643356643328,2,0
6.160839160839146,119.68531468531438,2,1
5.846153846153832,118.45454545454517,2,2
5.594405594405581,116.76223776223748,2,3
5.419580419580406,114.98601398601372,2,4
5.398601398601385,113.1958041958039,2,5
5.454545454545441,111.50349650349625,2,6
5.741258741258727,109.64335664335637,2,7
6.0769230769230616,106.92307692307668,2,8
6.510489510489494,102.77622377622353,2,9
7.090909090909074,97.86013986013961,2,10
7.468531468531449,92.51048951048928,2,11
7.615384615384595,86.8181818181816,2,12
7.657342657342639,80.56643356643337,2,13
7.720279720279702,74.72027972027954,2,14
7.6993006993006805,69.94405594405576,2,15
7.7342657342657155,66.58041958041942,2,16
7.657342657342639,64.20279720279704,2,17
7.608391608391589,62.958041958041804,2,18
7.650349650349632,62.300699300699144,2,19
7.846153846153827,61.62237762237747,2,20
8.244755244755225,60.67832167832153,2,21
8.664335664335644,60.30069930069915,2,22
8.9230769230769,59.958041958041804,2,23
8.99300699300697,59.78321678321663,3,0
9.167832167832145,59.440559440559284,3,1
9.34265734265732,59.916083916083764,3,2
9.489510489510467,61.09090909090894,3,3
9.50349650349648,62.174825174825024,3,4
9.510489510489487,63.10489510489495,3,5
9.71328671328669,64.49650349650334,3,6
9.853146853146828,66.16783216783202,3,7
10.08391608391606,67.61538461538446,3,8
10.40559440559438,69.33566433566416,3,9
10.496503496503472,70.7832167832166,3,10
10.510489510489485,72.34965034965018,3,11
10.293706293706268,73.93706293706276,3,12
10.10489510489508,75.41258741258723,3,13
9.66433566433564,77.13286713286695,3,14
9.167832167832145,78.45454545454527,3,15
8.643356643356622,78.93006993006973,3,16
8.286713286713265,79.46153846153827,3,17
8.062937062937042,79.86013986013967,3,18
7.923076923076904,80.04195804195784,3,19
7.818181818181799,79.84615384615365,3,20
